destination,volume
Puerto Rico,5490.0
Aruba,3610.0
Dominican Republic,3580.0
Jamaica,3560.0
Cancún / Cozumel / Riviera Maya,3040.0
Curaçao,860.0
Bermuda,850.0
Bahamas,840.0
Barbados,680.0
Turks & Caicos,630.0
Antigua & Barbuda,580.0
Trinidad & Tobago,500.0
St. Lucia,500.0
Grenada,400.0
Cuba,350.0
St. Barts,350.0
Belize,330.0
St. Thomas (USVI),320.0
St. Martin / St. Maarten,180.0
Cayman Islands,140.0
St. Kitts & Nevis,90.0
Anguilla,90.0
Dominica,60.0
Martinique,30.0
St. Croix (USVI),30.0
Guadeloupe,20.0
Bonaire,20.0
Roatán (Honduras),0.0
